"Hack and Slash","3","Attacks with war axes cause even more bleeding damage.","000c3679","90 One-handed","Armsman","One-Handed"
"Steel Smithing","0","Can create Steel armor and weapons at forges, and improve them twice as much.","000cb40d","None","Also create Bonemold","Smthing"
"Arcane Blacksmith","0","You can improve magical weapons and armor.","0005218e","60 Smithing",,"Smthing"
"Dwarven Smithing","0","Can create Dwarvenarmor and weapons at forges, and improve them twice as much.","000cb40e","30 Smithing",,"Smthing"
"Orcish Smithing","0","Can create Orcish armor and weapons at forges, and improve them twice as much.","000cb410","50 Smithing",,"Smthing"
"Ebony Smithing","0","Can create Ebony armor and weapons at forges, and improve them twice as much.","000cb412","80 Smithing","Also create Stalhrim","Smthing"
"Daedric Smithing","0","Can create Daedricarmor and weapons at forges, and improve them twice as much.","000cb413","90 Smithing",,"Smthing"
"Elven Smithing","0","Can create Elven armor and weapons at forges, and improve them twice as much.","000cb40f","30 Smithing","Also create Chitinar","Smthing"
"Advanced Armors","0","Can create Scaled and Plate armor at forges, and improve them twice as much.","000cb414","50 Smithing","Also create Nordic a","Smthing"
"Glass Smithing","0","Can create Glass armor and weapons at forges, and improve them twice as much.","000cb411","70 Smithing",,"Smthing"
"Dragon Armor","0","Can create Dragon armor at forges, and improve them twice as much.","0x00052190","100 Smithing","Also create Dragonbo","Smthing"
"Barbarian","1","Two-Handed weapons do 20% more damage.","000babe8","None","None","Two-Handed"
"Barbarian","2","Two-Handed weapons do 40% more damage.","0x00079346","20 Two-handed","None","Two-Handed"
"Barbarian","3","Two-Handed weapons do 60% more damage.","0x00079347","40 Two-handed","None","Two-Handed"
"Barbarian","4","Two-Handed weapons do 80% more damage.","0x00079348","60 Two-handed","None","Two-Handed"
"Barbarian","5","Two-Handed weapons do twice as much damage.","0x00079349","80 Two-handed","None","Two-Handed"
"Champion's Stance","0","Power attacks with two-handed weapons cost 25% less stamina.","00052d51","20 Two-handed","Barbarian","Two-Handed"
"Devastating Blow","0","Standing power attacks do 25% bonus damage with a chance to decapitate your enemies.","00052d52","50 Two-handed","Champion's Stance","Two-Handed"
"Great Critical Charge","0","Can do a two-handed power attack while sprinting that does double critical damage.","000cb407","50 Two-handed","Champion's Stance","Two-Handed"
"Sweep","0","Sideways power attacks with two-handed weapons hit all targets in front of you.","0003af9e","70 Two-handed","Great Critical Charg","Two-Handed"
"Warmaster","0","Backwards power attack has a 25% chance to paralyze the target.","0003afa7","100 Two-handed","Sweep","Two-Handed"
"Deep Wounds","1","Attacks with greatswordshave a 10% chance of doing critical damage.","0003af83","30 Two-handed","Barbarian","Two-Handed"
"Deep Wounds","2","Attacks with greatswords have a 15% chance of doing more critical damage.","000c1e94","60 Two-handed","Barbarian","Two-Handed"
"Deep Wounds","3","Attacks with greatswords have a 20% chance of doing even more critical damage.","000c1e95","90 Two-handed","Barbarian","Two-Handed"
"Limbsplitter","1","Attacks with battle axescause extra bleeding damage.","000c5c05","30 Two-handed","Barbarian","Two-Handed"
"Limbsplitter","2","Attacks with battle axes cause more bleeding damage.","000c5c06","60 Two-handed","Barbarian","Two-Handed"
"Limbsplitter","3","Attacks with battle axes cause even more bleeding damage.","000c5c07","90 Two-handed","Barbarian","Two-Handed"
"Skullcrusher","1","Attacks with warhammersignore 25% of armor.","0003af84","30 Two-handed","Barbarian","Two-Handed"
"Skullcrusher","2","Attacks with warhammers ignore 50% of armor.","000c1e96","60 Two-handed","Barbarian","Two-Handed"
"Skullcrusher","3","Attacks with warhammers ignore 75% of armor.","000c1e97","90 Two-handed","Barbarian","Two-Handed"
"Agile Defender","1","Increase armor rating for Light armor by 20%.","000be123","None","None","Light Armor"
"Agile Defender","2","Increase armor rating for Light armor by 40%.","0x00079376","20 Light Armor","None","Light Armor"
"Agile Defender","3","Increase armor rating for Light armor by 60%.","0x00079389","40 Light Armor","None","Light Armor"
"Agile Defender","4","Increase armor rating for Light armor by 80%.","0x00079391","60 Light Armor","None","Light Armor"
"Agile Defender","5","Increase armor rating for Light armor by 100%.","0x00079392","80 Light Armor","None","Light Armor"
"Custom Fit","0","25% Armor bonus if wearing all Light Armor: head, chest, hands, feet.","00051b1b","30 Light Armor","Agile Defender","Light Armor"
"Matching Set","0","Additional 25% Armor bonus if wearing a matched set of Light Armor.","00051b17","70 Light Armor","Custom Fit","Light Armor"
"Unhindered","0","Light Armor weighs nothing and doesn't slow you down when worn.","00051b1c","50 Light Armor","Custom Fit","Light Armor"
"Wind Walker","0","Stamina regenerates 50% faster in all Light Armor: head, chest, hands, feet.","00105f22","60 Light Armor","Unhindered","Light Armor"
"Deft Movement","0","10% chance of avoiding all damage from a melee attack while wearing all Light Armor: head, chest, hands, feet.","0x00107831","100 Light Armor","Wind Walker or Match","Light Armor"
